hop ip rtt
1  10.27.64.1      14.23
2  10.242.1.149    11.58
3  195.22.220.33   13.38
4  195.22.220.32   11.97
5  195.22.206.92   172.40
6  195.22.206.92   172.13
7  216.6.87.202    164.11
8  216.6.87.169    255.53
9  216.6.57.1      253.17
10 66.198.70.174   230.14
11 80.231.76.121   253.52
12 195.219.195.238 325.31
13 41.21.232.70    324.90
14 41.204.60.149   327.05
15 41.204.60.150   327.73
16 197.255.127.2   328.85
17 197.255.125.10  331.42
