hop ip rtt
1 192.168.0.1       1.61
2 10.27.128.1       9.35
3 10.242.1.61       10.83
4 208.178.195.214   12.40
5 208.178.195.213   10.80
6 67.17.99.233      137.77
7 *                  0
8 *                  0
9 212.187.139.166    239.16
10 146.97.33.2       238.03
11 146.97.37.194     238.17
12 193.63.108.94     245.87
13 193.63.108.98     238.36
14 193.63.109.90     248.00
15 *                 0
16 *                 0
17 192.76.32.62      234.21
18 129.67.242.154    241.62
